aX,aY,aZ,gX,gY,gZ
2.107,0.302,-0.563,6.897,-109.741,31.128
2.403,0.385,-0.236,-0.061,-108.337,33.02
2.737,0.492,0.074,-14.587,-90.881,45.105
3.006,0.625,0.397,-30.457,-67.627,58.228
3.155,0.803,0.712,-43.152,-41.138,65.857
3.151,0.986,0.854,-52.307,-12.573,65.063
2.964,1.095,0.803,-52.795,8.057,49.561
2.681,1.068,0.66,-42.847,15.381,16.663
2.243,0.898,0.621,-23.01,10.864,-24.231
1.749,0.617,0.593,-6.775,13.489,-60.913
1.34,0.349,0.458,-1.282,32.471,-82.092
1.016,0.12,0.316,-1.953,52.124,-85.144
0.759,0.029,0.214,-6.287,62.378,-74.768
0.581,-0.031,0.151,-9.155,66.101,-60.242
0.497,-0.046,0.054,-10.01,66.589,-45.471
0.426,-0.023,-0.052,-13.733,61.951,-33.142
0.376,-0.03,-0.078,-5.188,47.485,-27.954
0.323,-0.066,-0.105,-2.075,35.156,-24.597
0.275,-0.101,-0.114,-3.113,29.053,-21.79
0.216,-0.147,-0.107,-3.784,25.452,-17.09
0.222,-0.137,-0.108,-3.357,22.034,-9.521
0.235,-0.127,-0.094,-2.625,18.86,-2.563
0.278,-0.102,-0.105,-1.404,15.747,3.479
0.362,-0.047,-0.116,0.305,10.742,8.606
0.433,0.02,-0.096,2.197,2.93,11.108
0.495,0.018,-0.048,2.38,-3.296,10.071
0.575,0.038,-0.047,-1.099,-4.333,11.047
0.693,0.068,-0.03,-4.089,-6.897,12.512
0.815,0.098,0.046,-4.517,-14.282,12.817
0.916,0.112,0.125,-3.357,-18.494,10.864
1.01,0.083,0.144,-1.892,-18.311,7.996
1.079,0.081,0.14,-3.174,-18.372,6.104
1.122,0.085,0.163,-1.648,-20.935,4.761
1.171,0.106,0.184,0.366,-20.935,3.601
1.221,0.117,0.17,1.526,-15.686,2.319
1.254,0.142,0.145,1.709,-8.972,1.16
1.273,0.13,0.134,0.793,-5.066,-0.61
1.262,0.15,0.145,-0.549,-2.869,-1.343
1.239,0.154,0.145,0.854,-0.549,-2.258
1.212,0.166,0.113,2.502,3.357,-3.845
1.12,0.151,0.115,4.028,4.883,-5.005
1.031,0.086,0.108,4.028,6.836,-4.822
1.041,0.107,0.039,1.892,11.597,1.099
1.052,0.193,0.034,2.502,9.277,7.019
1.026,0.222,0.137,5.798,2.502,6.653
1.006,0.219,0.129,7.019,8.972,2.258
0.981,0.192,0.076,8.728,16.724,-1.16
0.953,0.199,0.054,10.01,15.991,-0.854
0.94,0.209,0.055,11.658,12.024,1.038
0.94,0.222,0.059,12.268,10.986,1.709
0.949,0.22,0.044,12.024,12.207,1.221
0.94,0.218,0.003,10.01,12.756,0.305
0.92,0.228,-0.021,8.362,9.766,0
0.907,0.222,-0.022,7.874,6.226,-0.854
0.903,0.194,-0.024,7.446,5.249,-2.014
0.899,0.16,-0.028,5.92,5.493,-2.319
0.9,0.145,-0.033,4.333,5.127,-0.549
0.935,0.162,-0.044,3.174,4.211,2.258
0.961,0.185,-0.023,4.395,2.441,3.479
0.977,0.191,-0.005,5.188,2.808,1.892
0.993,0.192,-0.026,5.066,7.141,-0.61
1.005,0.17,-0.053,2.991,10.925,-2.686
0.996,0.201,-0.082,-1.953,12.024,-2.808
1.001,0.169,-0.069,0.183,9.277,-3.174
1.015,0.144,-0.047,1.099,5.554,-2.747
1.001,0.149,-0.012,-2.869,3.235,-0.732
1.029,0.168,-0.012,-3.845,2.075,1.16
1.032,0.19,0.02,-2.991,0.122,1.038
1.024,0.176,0.051,-2.197,-0.244,-2.014
1.002,0.161,0.05,-2.258,2.93,-4.639
0.986,0.153,0.05,-1.221,3.723,-6.47
0.975,0.144,0.056,1.16,2.747,-7.996
0.974,0.132,0.063,3.296,3.357,-9.216
0.974,0.118,0.061,4.456,4.517,-9.338
0.96,0.119,0.057,4.272,4.7,-7.751
0.951,0.117,0.064,3.723,4.395,-6.226
0.936,0.132,0.052,-0.916,5.798,-5.92
0.927,0.111,0.035,2.747,7.507,-6.897
0.919,0.119,0.013,5.493,7.08,-4.944
0.926,0.133,0.01,5.188,5.554,-3.174
0.937,0.136,0.002,5.249,5.127,-2.686
0.929,0.147,0.003,0.183,5.676,-2.686
