aX,aY,aZ,gX,gY,gZ
1.209,-0.398,0.484,-30.396,-10.925,23.437
1.104,-0.136,0.602,-28.625,-22.583,26.428
0.976,0.087,0.682,-29.907,-25.391,19.348
0.88,0.142,0.731,-28.442,-17.334,4.272
0.894,0.15,0.683,-39.307,-12.939,1.953
0.948,0.021,0.598,-57.983,-13.489,10.254
1.097,-0.183,0.482,-70.313,-16.174,15.259
1.208,-0.283,0.381,-79.407,-21.606,23.254
1.227,-0.224,0.345,-81.97,-27.954,29.419
1.151,-0.028,0.307,-79.102,-31.494,30.457
1.055,0.178,0.374,-78.125,-35.217,30.701
0.97,0.347,0.465,-80.261,-35.4,27.588
0.942,0.501,0.477,-80.383,-26.794,15.869
1.029,0.324,0.493,-80.261,-10.376,-6.531
1.081,0.04,0.274,-84.839,6.958,-23.315
1.232,-0.329,0.091,-93.323,7.202,-19.348
1.377,-0.562,0.008,-105.774,-7.202,1.77
1.37,-0.485,-0.042,-109.009,-19.104,27.1
1.277,-0.282,-0.014,-102.783,-23.071,40.222
1.142,-0.115,0.055,-97.046,-21.851,43.823
0.917,0.099,0.094,-94.482,-17.822,44.067
0.799,0.308,0.179,-90.576,-15.991,38.208
0.886,0.189,0.339,-93.323,-12.39,21.729
0.914,0.027,0.293,-94.36,4.822,1.099
0.928,-0.151,0.129,-90.515,18.921,-11.475
0.914,-0.32,0.026,-96.802,13.672,-5.249
0.885,-0.27,0.036,-103.577,-2.563,14.038
0.808,-0.126,0.126,-102.051,-14.221,22.4
0.721,-0.01,0.155,-99.609,-17.883,20.447
0.668,-0.054,0.193,-103.149,-20.691,15.32
0.698,-0.116,0.191,-105.835,-22.583,9.644
0.792,-0.266,0.153,-107.361,-22.339,4.761
0.844,-0.461,0.038,-109.741,-20.752,1.892
0.893,-0.574,-0.06,-106.628,-21.606,2.808
0.903,-0.599,-0.077,-100.891,-24.231,5.92
0.845,-0.533,-0.109,-93.689,-26.428,9.46
0.762,-0.405,-0.023,-86.975,-32.959,12.634
0.659,-0.175,0.125,-81.726,-39.185,16.357
0.595,0.024,0.263,-80.078,-42.725,16.052
0.626,0.018,0.292,-85.205,-42.542,10.01
0.681,-0.127,0.251,-90.759,-39.368,2.258
0.775,-0.238,0.196,-91.797,-35.034,-2.075
0.815,-0.374,0.114,-92.224,-28.564,-4.639
0.838,-0.469,0.006,-91.248,-23.376,-3.906
0.8,-0.452,0.017,-88.684,-24.902,-0.61
0.758,-0.374,-0.011,-81.97,-26.489,0.732
0.731,-0.394,-0.057,-75.623,-28.076,-0.977
0.717,-0.403,-0.075,-71.228,-33.02,-1.709
0.744,-0.411,-0.035,-67.505,-39.429,-2.808
0.794,-0.428,0.025,-63.843,-42.053,-6.653
0.873,-0.474,0.084,-60.059,-39.429,-11.719
0.884,-0.5,0.08,-59.448,-34.119,-12.451
0.815,-0.446,0.037,-57.861,-29.236,-10.62
0.79,-0.416,0.025,-52.246,-25.879,-10.742
0.802,-0.423,-0.007,-47.363,-21.973,-11.78
0.712,-0.344,-0.094,-40.161,-17.09,-15.808
0.551,-0.167,-0.151,-26.245,-16.052,-21.484
0.532,0.009,-0.038,-20.264,-27.344,-25.208
0.611,0.044,0.055,-24.475,-37.964,-29.602
0.735,-0.088,0.077,-29.358,-38.513,-38.025
0.957,-0.313,0.063,-32.776,-32.41,-46.204
1.114,-0.416,-0.089,-36.987,-22.888,-42.603
1.218,-0.54,-0.229,-36.56,-12.695,-39.49
1.223,-0.538,-0.407,-27.344,-2.441,-39.795
1.208,-0.536,-0.49,-16.724,2.075,-36.56
1.218,-0.585,-0.479,-12.756,-3.052,-29.663
1.266,-0.612,-0.405,-11.108,-9.583,-20.203
1.266,-0.521,-0.381,-9.399,-9.644,-9.827
1.109,-0.332,-0.39,-5.859,-4.639,-2.869
0.963,0.01,-0.432,0.854,-2.747,-1.404
0.811,0.335,-0.423,3.906,-5.859,0.061
0.795,0.432,-0.381,-2.869,-13,1.77
0.909,0.344,-0.307,-15.808,-19.653,2.686
1.064,0.165,-0.337,-24.292,-15.747,0.244
1.21,-0.007,-0.403,-22.034,-5.798,-5.615
1.276,-0.052,-0.5,-14.221,2.808,-10.071
1.216,0.018,-0.563,-5.005,8.606,-9.949
1.123,0.135,-0.561,2.258,6.287,-7.263
1.064,0.261,-0.5,5.676,-3.113,-4.272
1.014,0.407,-0.404,5.493,-13.489,-1.404
1.05,0.432,-0.279,3.784,-21.301,-1.892
1.137,0.391,-0.147,0,-23.926,-4.7
1.204,0.38,-0.038,-2.258,-19.165,-7.507
1.245,0.385,-0.017,-1.038,-10.193,-9.827
1.261,0.302,-0.024,1.831,-3.174,-11.23
1.282,0.233,0.016,2.319,-3.967,-8.24
1.295,0.246,0.125,0.366,-8.057,-2.625
1.288,0.309,0.229,0.183,-7.324,0.061
1.267,0.344,0.304,1.343,-1.099,-2.563
1.235,0.344,0.331,2.441,8.484,-6.775
1.197,0.299,0.3,3.052,17.578,-10.254
1.173,0.218,0.262,1.526,20.386,-10.925
1.146,0.149,0.22,-2.625,18.188,-7.874
1.114,0.121,0.202,-6.714,14.221,-4.15
1.103,0.096,0.18,-7.812,13.855,-3.54
1.063,0.084,0.118,-7.263,17.273,-5.005
1.022,0.076,0.048,-4.944,20.081,-6.958
1.018,0.005,0.004,-3.418,18.799,-8.728
1.023,-0.075,-0.04,-2.136,14.648,-7.446
1.024,-0.099,-0.058,-0.549,8.667,-3.357
1.003,-0.071,-0.061,1.648,3.601,0.122
0.99,-0.064,-0.031,3.296,0.061,2.014
0.945,-0.033,0.031,3.54,-2.014,4.15
0.954,-0.005,0.047,3.662,-2.258,4.272
0.971,-0.019,0.063,3.357,-1.404,2.686
0.984,-0.016,0.074,2.258,0.671,2.686
0.995,-0.041,0.067,2.747,4.639,2.197
0.983,-0.043,0.036,5.066,9.094,1.77
0.924,-0.014,0.038,6.714,12.268,1.404
0.9,0.014,0.032,6.531,12.329,0.488
0.911,-0.018,0.031,4.333,9.521,0.549
0.929,-0.053,0.025,0.916,5.493,2.563
0.934,-0.082,0.016,0.916,2.747,3.845
0.935,-0.064,0.018,4.578,1.465,2.258
0.946,-0.05,0.017,6.836,0.854,0.61
0.927,-0.039,0.023,7.324,-0.061,-0.244
0.944,-0.039,0.038,8.423,-1.587,-0.427
0.967,-0.024,0.072,7.019,-2.502,0.671
0.972,-0.005,0.089,5.493,-0.732,0.793
,,,,,
0.996,0.122,0.963,25.757,0.122,8.118
1.295,-0.053,0.62,23.376,24.353,-0.305
1.213,-0.157,0.528,19.592,21.423,-1.038
1.238,-0.201,0.449,6.958,18.616,2.38
1.316,-0.186,0.482,-0.061,7.324,14.893
1.329,-0.19,0.582,-11.841,4.089,28.931
