aX,aY,aZ,gX,gY,gZ
0.978,-0.095,-0.063,0.732,6.592,-1.282
0.95,-0.106,-0.077,0.854,5.859,0.061
0.961,-0.107,-0.064,-0.427,3.906,2.93
0.993,-0.13,-0.049,0.305,3.662,5.92
0.987,-0.145,-0.046,1.221,3.296,8.85
0.964,-0.13,-0.051,1.16,3.357,11.78
0.958,-0.123,-0.059,2.258,2.808,15.503
1.005,-0.123,-0.078,5.615,0.244,20.63
0.994,-0.126,-0.012,5.798,-4.883,25.696
1.015,-0.054,-0.022,1.709,-3.662,23.926
1,-0.023,-0.007,0.305,0.183,13.733
0.985,-0.032,-0.007,4.211,2.625,6.165
0.961,-0.047,-0.008,7.446,3.906,2.93
0.948,-0.044,-0.02,7.996,4.639,1.465
0.939,-0.021,-0.012,6.287,4.211,-1.526
0.938,-0.01,-0.02,7.263,4.944,-5.554
0.933,-0.011,-0.03,8.667,6.653,-8.545
0.929,-0.03,-0.055,7.507,7.629,-8.606
0.928,-0.041,-0.072,4.089,5.798,-5.92
0.933,-0.031,-0.07,-0.549,2.686,-2.869
0.941,-0.031,-0.057,-4.15,-0.305,-1.221
0.971,-0.049,-0.045,-6.653,-1.831,-0.244
0.971,-0.061,-0.034,-8.545,-1.709,-1.282
0.979,-0.079,-0.039,-7.141,-1.77,-2.93
0.995,-0.09,-0.035,-3.662,-1.343,-2.991
1,-0.107,-0.029,-1.038,0.061,-2.075
1,-0.1,-0.035,0.488,0.977,-1.465
0.989,-0.076,-0.042,2.319,1.709,-2.686
0.989,-0.063,-0.045,4.944,2.869,-4.333
0.991,-0.075,-0.039,6.348,4.15,-4.822
0.995,-0.083,-0.037,5.432,4.517,-2.869
0.999,-0.049,-0.029,2.808,4.517,0.854
0.995,-0.016,-0.017,-0.183,4.456,2.014
0.999,-0.013,-0.013,-1.648,5.798,0.061
1.007,-0.028,-0.015,-2.502,8.362,-2.014
1.004,-0.04,-0.026,-2.563,11.047,-3.235
0.997,-0.063,-0.032,-1.77,12.39,-3.967
0.976,-0.081,-0.063,0.427,13,-4.7
0.961,-0.071,-0.082,2.258,11.902,-5.066
0.957,-0.078,-0.095,3.845,9.766,-4.822
0.963,-0.082,-0.093,4.639,7.202,-3.906
0.966,-0.076,-0.083,4.089,4.761,-3.174
0.977,-0.076,-0.066,3.479,2.319,-2.258
0.987,-0.069,-0.056,2.869,1.099,-1.282
0.993,-0.059,-0.046,2.197,0.488,-0.916
0.995,-0.059,-0.04,1.526,0.854,-1.892
0.999,-0.056,-0.053,1.77,2.319,-3.357
0.994,-0.078,-0.054,2.563,3.235,-4.456
1,-0.093,-0.062,2.502,3.54,-3.723
1.001,-0.091,-0.072,1.709,4.333,-2.258
1.004,-0.091,-0.078,1.16,4.578,-2.319
1,-0.092,-0.071,0.916,5.005,-3.418
0.988,-0.081,-0.074,1.892,6.165,-4.089
0.974,-0.068,-0.067,3.052,7.324,-4.761
0.973,-0.08,-0.064,4.883,8.057,-5.249
0.959,-0.076,-0.053,6.775,8.362,-5.188
0.949,-0.059,-0.076,8.484,7.812,-4.456
0.97,-0.066,-0.098,8.667,6.165,-4.761
0.974,-0.07,-0.092,6.348,4.089,-5.005
0.975,-0.072,-0.098,4.639,2.625,-4.517
0.975,-0.075,-0.093,3.479,1.465,-3.54
0.98,-0.096,-0.081,2.686,0.366,-2.625
0.994,-0.117,-0.083,2.686,-0.366,-1.953
0.992,-0.115,-0.098,3.723,0.427,-0.916
0.997,-0.101,-0.101,4.517,0.183,0.916
1.002,-0.089,-0.077,3.296,-0.793,2.625
1,-0.081,-0.058,2.136,-1.343,3.601
0.986,-0.084,-0.066,2.869,-0.61,2.625
0.982,-0.095,-0.083,3.357,0.671,1.343
0.975,-0.118,-0.095,3.54,1.526,0.183
0.984,-0.123,-0.099,4.15,1.831,-0.732
0.979,-0.105,-0.088,4.639,1.587,-2.075
0.978,-0.099,-0.073,4.7,0.916,-2.869
0.973,-0.092,-0.056,3.967,0.977,-2.319
0.971,-0.078,-0.042,3.113,1.221,-1.892
,,,,,
1.61,-0.99,0.454,-124.756,-53.65,-36.56
1.801,-1.254,0.149,-107.361,-34.79,-26.978
1.999,-1.279,-0.318,-80.261,-10.437,-10.803
1.794,-1.244,-0.335,-58.838,17.212,1.709
1.422,-1.078,-0.44,-35.034,43.579,7.446
1.049,-0.858,-0.439,-15.32,55.298,14.526
0.763,-0.66,-0.262,3.357,45.715,25.33
0.562,-0.466,-0.075,18.005,24.475,35.095
0.537,-0.244,0.031,30.029,5.371,45.898
0.534,-0.051,0.243,10.437,-13.184,46.448
0.501,-0.032,0.466,-11.902,-23.437,35.278
0.589,-0.05,0.583,-21.484,-22.156,24.17
0.707,-0.081,0.542,-27.1,-12.207,14.526
0.809,-0.181,0.485,-36.011,-0.793,4.15
0.891,-0.335,0.324,-41.016,12.329,-5.127
0.963,-0.448,0.233,-40.344,25.146,-10.193
1.02,-0.509,0.137,-34.424,35.4,-9.399
1.024,-0.53,0.02,-28.87,39.673,-4.211
1.007,-0.53,-0.082,-25.146,37.842,2.686
0.975,-0.544,-0.132,-23.437,33.264,9.094
0.908,-0.522,-0.123,-21.24,28.564,14.099
0.857,-0.51,-0.102,-18.921,25.33,16.541
0.87,-0.494,-0.066,-18.555,21.423,17.273
0.883,-0.443,-0.018,-21.24,16.907,17.578
0.817,-0.338,-0.012,-21.057,18.127,16.724
0.781,-0.261,-0.071,-11.047,22.095,16.052
0.813,-0.181,-0.079,-6.531,18.127,13.123
0.829,-0.242,0.046,-13.855,7.202,6.104
0.877,-0.193,0.087,-17.517,5.615,3.357
0.926,-0.144,0.014,-18.86,14.099,0.488
0.972,-0.213,-0.155,-19.714,29.419,-7.69
1.012,-0.373,-0.381,-15.93,45.532,-16.357
1.046,-0.539,-0.547,-9.521,52.246,-18.494
1.066,-0.628,-0.64,-5.676,43.884,-11.292
1.014,-0.636,-0.63,-5.493,26.062,-0.427
0.929,-0.585,-0.559,-4.761,8.179,5.981
0.863,-0.437,-0.41,-0.366,-5.005,7.202
0.819,-0.258,-0.228,4.272,-15.747,5.554
0.8,-0.001,-0.09,2.38,-23.437,6.348
0.857,0.198,-0.078,-2.625,-23.987,5.127
0.917,0.176,-0.086,-11.108,-20.691,0.549
0.953,-0.006,-0.134,-21.423,-15.747,-3.662
0.982,-0.193,-0.193,-27.222,-11.23,-3.967
1.026,-0.251,-0.267,-29.48,-7.874,-1.404
1.077,-0.335,-0.316,-30.029,-5.005,-1.831
1.087,-0.358,-0.356,-28.992,-2.808,-0.61
1.049,-0.257,-0.392,-26.428,-3.052,4.761
0.988,-0.129,-0.395,-20.691,-6.348,10.925
0.872,-0.012,-0.35,-17.09,-11.902,14.16
0.849,0.114,-0.271,-14.038,-19.958,15.869
0.89,0.184,-0.193,-15.808,-23.926,14.954
0.888,0.159,-0.133,-21.484,-21.423,14.282
0.859,0.102,-0.126,-25.513,-11.658,12.817
0.817,0.063,-0.205,-25.635,1.038,6.104
0.781,0.001,-0.347,-23.193,11.047,-2.686
0.807,-0.093,-0.504,-21.423,13.062,-9.338
0.858,-0.192,-0.596,-20.325,4.944,-10.986
0.911,-0.255,-0.608,-19.226,-10.193,-6.897
0.922,-0.196,-0.54,-15.076,-25.818,1.709
0.888,-0.045,-0.438,-5.188,-35.95,10.132
0.917,0.073,-0.308,6.958,-38.147,13.123
0.961,0.125,-0.237,12.207,-34.546,12.695
1.011,0.094,-0.216,11.78,-29.907,10.071
1.059,0.015,-0.201,10.254,-26.184,6.836
1.099,-0.054,-0.211,10.681,-20.996,6.104
1.252,-0.07,-0.249,12.329,-16.846,7.263
1.021,-0.218,-0.127,13.855,-16.602,5.92
1.181,-0.053,-0.291,15.259,-6.531,10.376
1.109,-0.125,-0.274,22.827,-3.357,5.127
1.128,-0.103,-0.286,23.499,-2.563,6.897
1.085,0.003,-0.279,24.902,-4.211,17.395
1.062,0.046,-0.212,27.771,-7.446,18.555
1.084,0.045,-0.17,29.48,-7.996,19.104
1.078,0.036,-0.144,30.457,-6.836,23.865
1.005,0.124,-0.139,32.532,-5.859,26.245
0.968,0.168,-0.095,36.621,-3.845,21.118
0.961,0.183,-0.081,39.124,-1.77,18.555
0.958,0.162,-0.111,36.194,-1.343,20.081
0.935,0.147,-0.161,34.729,-1.099,19.958
0.94,0.161,-0.201,39.001,0.183,16.541
0.987,0.099,-0.245,44.25,1.526,9.155
1.029,0.032,-0.308,47.852,-1.221,6.47
1.046,0.04,-0.372,47.363,-7.568,8.301
1.07,0.043,-0.413,46.204,-13.916,7.935
1.099,0.004,-0.472,49.683,-17.639,4.272
1.106,-0.047,-0.498,55.664,-21.301,1.77
1.127,-0.076,-0.459,63.538,-27.405,2.686
1.094,-0.053,-0.396,74.951,-30.212,5.066
1.041,-0.019,-0.358,86.731,-27.161,6.592
0.999,-0.006,-0.294,98.511,-23.743,4.15
0.997,0.017,-0.18,111.084,-22.339,1.831
0.996,0.043,0.01,118.164,-25.146,3.052
0.981,0.085,0.219,119.141,-31.555,5.676
1.004,0.078,0.35,116.699,-36.987,8.118
1.06,0.055,0.426,109.436,-39.063,10.925
1.094,0.009,0.414,102.295,-34.912,12.024
1.109,-0.049,0.322,99.609,-22.949,11.658
1.076,-0.092,0.213,101.501,-8.118,12.085
0.986,-0.062,0.116,106.079,6.165,15.015
0.882,-0.037,0.041,109.375,16.724,15.869
0.83,-0.066,-0.001,110.657,18.677,13.123
0.807,-0.097,0.002,110.229,14.16,12.573
0.805,-0.088,0.018,112.122,5.493,11.658
0.824,-0.052,0.059,114.502,-1.343,8.118
0.842,0.015,0.076,115.295,-1.953,6.104
0.821,0.062,0.037,114.38,3.784,6.531
0.765,0.057,-0.035,113.098,13.489,5.005
0.691,0.052,-0.073,114.624,21.545,1.892
0.646,0.059,-0.041,117.92,25.024,-1.404
0.649,0.099,0.02,118.896,22.766,-3.357
0.734,0.145,0.097,115.417,17.883,-3.967
0.73,0.134,0.224,110.718,14.526,-5.981
0.816,0.167,0.265,108.032,18.799,-9.338
0.836,0.211,0.283,108.032,28.931,-10.925
0.853,0.243,0.224,104.98,39.49,-12.817
0.842,0.218,0.129,97.961,44.983,-14.954
0.82,0.206,0.048,91.431,47.363,-17.273
0.835,0.136,-0.011,88.806,46.448,-21.729
0.901,0.088,0.003,87.036,41.748,-24.719
,,,,,
1.508,-0.871,0.392,-116.516,2.991,25.879
1.409,-0.617,0.358,-85.144,17.944,18.677
1.185,-0.356,0.411,-67.322,34.912,7.996
0.895,-0.05,0.458,-56.152,50.049,0.061
0.849,0.025,0.439,-56.458,52.795,-5.981
0.987,-0.345,0.53,-78.857,54.932,-18.188
0.878,-0.585,0.539,-111.389,68.604,-21.179
0.94,-0.548,0.46,-134.277,79.529,-13.916
1.002,-0.695,0.282,-140.808,86.487,-13.062
0.901,-0.847,-0.164,-138.977,90.759,-16.541
0.818,-0.892,-0.397,-126.526,76.538,-13.367
0.991,-0.96,-0.41,-103.394,44.739,-5.615
1.087,-0.922,-0.468,-86.243,23.865,-0.793
1.042,-0.851,-0.499,-75.439,17.212,2.197
1.115,-0.906,-0.514,-63.477,16.968,1.16
1.177,-1.046,-0.542,-54.565,23.804,-3.235
1.165,-1.044,-0.625,-44.128,33.02,-0.427
1.103,-0.926,-0.717,-30.151,33.264,7.629
0.929,-0.714,-0.703,-18.066,23.743,14.893
0.789,-0.502,-0.59,-4.822,11.841,22.278
0.731,-0.346,-0.497,5.554,0.732,26.733
0.728,-0.271,-0.371,6.042,-7.629,26.062
0.683,-0.244,-0.285,1.526,-12.512,22.461
0.682,-0.247,-0.245,-0.488,-12.085,19.104
0.636,-0.2,-0.238,1.16,-8.545,17.334
0.578,-0.102,-0.252,4.822,-6.775,14.526
0.574,-0.035,-0.233,6.592,-7.69,7.568
0.614,-0.025,-0.224,6.592,-7.568,-1.831
0.668,-0.028,-0.22,6.775,-6.958,-9.46
0.751,-0.103,-0.175,5.859,-9.155,-14.343
0.848,-0.141,-0.142,4.822,-11.475,-15.137
0.913,-0.144,-0.112,4.578,-12.207,-13.55
0.961,-0.136,-0.09,5.371,-9.827,-13.55
0.995,-0.128,-0.087,6.104,-4.761,-14.954
1.031,-0.13,-0.07,7.141,-0.916,-15.259
1.092,-0.112,-0.062,6.348,1.099,-14.16
1.111,-0.094,-0.07,3.601,5.066,-13.672
1.122,-0.093,-0.092,1.221,11.169,-15.198
1.135,-0.104,-0.129,1.648,16.907,-16.296
1.159,-0.14,-0.168,1.648,20.02,-15.564
1.163,-0.171,-0.197,0.732,19.531,-12.39
1.154,-0.184,-0.221,0.549,15.32,-7.446
1.137,-0.167,-0.222,1.587,10.986,-3.845
1.094,-0.14,-0.209,4.089,8.911,-1.343
1.082,-0.114,-0.208,6.775,9.583,-0.305
1.017,-0.073,-0.195,8.911,8.972,0
1.005,-0.059,-0.188,8.362,6.104,0.427
1.008,-0.101,-0.167,4.028,4.272,-0.061
1.051,-0.134,-0.144,2.502,2.38,0.305
1.055,-0.139,-0.124,4.578,0.732,2.319
1.035,-0.128,-0.098,6.653,-1.16,3.906
1.023,-0.115,-0.089,8.423,-1.16,3.052
1.01,-0.106,-0.078,10.559,-0.061,0.732
1.018,-0.104,-0.07,11.108,1.282,-0.183
1.01,-0.107,-0.066,10.315,1.343,-0.244
1.013,-0.105,-0.062,8.667,0.977,0.793
1.02,-0.096,-0.058,5.676,-0.366,3.174
1.008,-0.059,-0.064,1.404,-1.343,6.226
1,-0.06,-0.064,-1.831,-1.404,7.385
1.012,-0.084,-0.068,-3.784,-0.732,6.653
1.014,-0.093,-0.089,-4.15,0.488,6.104
1.02,-0.108,-0.116,-3.723,1.892,6.348
1.04,-0.147,-0.143,-3.662,2.197,5.798
1.054,-0.182,-0.161,-2.747,1.587,5.92
1.054,-0.177,-0.163,-1.038,0.488,7.935
1.038,-0.167,-0.163,1.282,-0.061,10.071
0.994,-0.15,-0.163,4.089,0,11.841
0.948,-0.109,-0.174,5.92,-0.183,12.756
0.924,-0.092,-0.167,6.47,-1.709,11.414
0.899,-0.084,-0.149,5.737,-2.38,9.094
0.894,-0.073,-0.136,5.798,-3.296,7.751
0.904,-0.076,-0.128,6.165,-4.456,6.592
0.911,-0.084,-0.119,5.676,-5.554,6.042
0.916,-0.09,-0.108,4.822,-7.812,6.042
0.922,-0.077,-0.1,3.357,-9.583,6.042
0.929,-0.076,-0.087,2.258,-9.216,4.7
0.945,-0.09,-0.072,1.892,-7.751,3.357
0.958,-0.085,-0.067,2.625,-5.798,3.296
0.968,-0.082,-0.066,3.052,-4.15,3.418
0.971,-0.089,-0.064,2.441,-2.38,3.235
0.966,-0.094,-0.068,1.282,-0.732,2.38
0.947,-0.089,-0.083,0.916,1.831,0.61
0.942,-0.079,-0.096,1.648,4.15,-0.183
0.955,-0.089,-0.1,2.014,4.761,-0.732
0.962,-0.097,-0.106,1.16,4.883,-0.977
0.959,-0.087,-0.106,0.61,4.761,-0.305
0.952,-0.062,-0.109,1.343,5.371,0.305
0.948,-0.063,-0.108,2.258,6.287,-0.671
0.943,-0.065,-0.113,2.136,6.226,-1.892
0.946,-0.06,-0.126,1.709,6.104,-2.075
0.947,-0.064,-0.132,1.038,5.554,-2.075
0.944,-0.069,-0.139,0.549,4.822,-2.197
0.952,-0.085,-0.148,1.038,4.15,-2.441
0.967,-0.101,-0.15,0.793,3.723,-2.808
0.984,-0.126,-0.155,0.366,3.296,-3.357
0.987,-0.134,-0.162,0.854,3.418,-3.235
0.982,-0.119,-0.174,2.075,3.296,-2.319
0.977,-0.107,-0.18,3.296,2.197,-1.465
0.979,-0.109,-0.173,3.357,0.122,-1.526
0.975,-0.1,-0.167,2.869,-1.465,-1.709
0.973,-0.08,-0.165,2.93,-2.441,-1.282
0.972,-0.068,-0.152,3.479,-3.052,-1.099
0.992,-0.08,-0.133,3.784,-3.174,-1.282
1.008,-0.086,-0.127,2.747,-2.991,-1.526
1.014,-0.089,-0.133,1.953,-1.77,-1.221
1.007,-0.076,-0.149,2.441,0.427,-0.732
1,-0.072,-0.159,4.089,1.953,-0.732
0.998,-0.075,-0.161,4.517,0.916,-0.549
1.005,-0.091,-0.156,2.747,-1.221,-0.366
1.007,-0.098,-0.15,1.343,-2.991,0.671
1.012,-0.094,-0.146,1.709,-3.54,1.526
1.007,-0.098,-0.143,2.808,-3.296,1.648
1.007,-0.106,-0.141,3.174,-3.418,1.77
1.006,-0.107,-0.133,2.869,-4.395,2.258
1.002,-0.102,-0.129,2.38,-5.188,2.808
1.001,-0.098,-0.126,1.953,-5.737,3.113
1.005,-0.102,-0.117,1.892,-5.737,3.601
1.002,-0.088,-0.114,1.282,-5.249,3.54
0.994,-0.097,-0.122,0.549,-4.15,4.028
,,,,,
1.398,-1.366,-0.35,-110.229,-13.245,-44.556
1.747,-1.632,-0.477,-104.187,-6.775,-42.236
1.988,-1.871,-0.572,-85.266,15.564,-45.715
2,-1.854,-0.651,-54.626,36.682,-33.936
1.808,-1.549,-0.758,-16.418,46.265,-8.057
1.571,-1.239,-0.756,10.132,46.936,16.052
1.343,-0.957,-0.692,26.123,45.837,33.142
1.048,-0.63,-0.555,39.001,42.847,45.776
0.823,-0.313,-0.401,49.866,33.447,54.138
0.625,-0.059,-0.191,54.199,19.226,56.641
0.464,0.13,0.021,49.988,7.69,55.176
0.459,0.208,0.126,40.161,3.235,47.18
0.514,0.186,0.182,28.381,3.601,31.555
0.595,0.149,0.172,17.395,5.859,15.808
0.668,0.116,0.073,9.338,8.301,3.906
0.739,0.055,-0.036,3.662,7.446,-3.967
0.815,-0.032,-0.116,-1.648,2.136,-9.583
0.896,-0.107,-0.19,-6.531,-4.15,-12.878
0.963,-0.187,-0.24,-10.193,-9.766,-13.184
1.034,-0.265,-0.235,-11.719,-14.893,-11.475
1.072,-0.267,-0.184,-10.132,-18.066,-8.24
1.058,-0.166,-0.141,-4.211,-17.639,-4.578
1.05,-0.088,-0.118,2.625,-13.977,-3.906
1.041,-0.059,-0.102,5.31,-7.385,-5.554
1.044,-0.057,-0.105,5.005,-1.831,-7.385
1.064,-0.062,-0.107,3.906,0.122,-7.446
1.087,-0.074,-0.112,2.502,0.854,-6.836
1.093,-0.084,-0.113,1.282,3.113,-5.798
1.078,-0.082,-0.121,0.793,6.714,-4.395
1.065,-0.07,-0.164,0.061,10.437,-2.991
1.031,-0.071,-0.196,-1.16,11.719,-1.831
1.026,-0.077,-0.214,-0.977,9.949,-0.732
1.041,-0.092,-0.223,-1.343,8.179,-0.366
1.045,-0.108,-0.241,-1.099,7.08,0.793
1.033,-0.125,-0.243,-0.977,5.615,1.77
1.01,-0.121,-0.237,0.793,3.113,2.747
0.991,-0.1,-0.224,3.357,1.526,3.113
0.98,-0.089,-0.213,5.737,1.587,1.709
0.992,-0.105,-0.205,7.202,1.587,0.061
1.014,-0.126,-0.197,6.348,0.122,-0.549
1.016,-0.117,-0.182,5.615,-2.014,0.366
1.027,-0.112,-0.157,5.188,-3.662,0.793
1.038,-0.105,-0.131,4.211,-3.235,1.038
1.045,-0.105,-0.119,3.845,-2.014,1.404
1.036,-0.104,-0.108,3.662,-1.038,1.221
1.018,-0.091,-0.095,4.211,0.122,1.648
1.001,-0.061,-0.081,4.883,0.732,2.747
0.99,-0.055,-0.076,4.028,0.61,3.052
0.985,-0.058,-0.077,2.625,0.61,3.113
0.972,-0.049,-0.086,1.648,1.404,2.808
0.96,-0.046,-0.1,1.038,2.441,1.404
0.965,-0.066,-0.113,-0.061,2.136,0.061
0.967,-0.087,-0.119,-1.648,-0.244,-0.305
0.975,-0.101,-0.123,-1.831,-2.319,0.244
0.984,-0.095,-0.128,-0.488,-2.869,0.122
0.992,-0.097,-0.134,1.404,-1.953,-1.221
0.991,-0.111,-0.135,2.258,-0.732,-2.258
0.997,-0.124,-0.125,2.563,-0.488,-1.77
1.005,-0.111,-0.128,3.418,-0.061,-0.488
0.999,-0.103,-0.125,3.418,1.587,0.122
0.983,-0.096,-0.126,3.845,3.723,0.061
0.966,-0.073,-0.123,4.639,5.127,0.916
0.956,-0.063,-0.105,4.761,5.249,1.282
0.959,-0.059,-0.092,3.967,5.188,1.282
0.958,-0.06,-0.097,2.808,6.775,-0.061
0.945,-0.053,-0.111,2.014,9.033,-2.075
0.945,-0.057,-0.131,1.892,9.521,-3.113
0.969,-0.09,-0.154,-0.305,7.874,-3.174
0.976,-0.106,-0.182,-3.357,5.615,-1.526
0.975,-0.115,-0.197,-4.089,2.502,0.183
0.973,-0.118,-0.195,-3.113,0.732,0.366
0.957,-0.104,-0.183,-1.465,1.16,-0.122
0.95,-0.091,-0.167,0.732,1.831,-0.366
0.953,-0.095,-0.153,1.648,1.038,-0.183
0.968,-0.113,-0.145,0.671,-0.061,0
0.967,-0.105,-0.142,0.183,-0.793,1.16
0.968,-0.09,-0.132,1.16,-0.122,1.465
0.963,-0.08,-0.123,1.587,2.197,0.366
0.954,-0.069,-0.119,2.136,4.272,-0.061
0.954,-0.071,-0.12,1.77,4.822,-0.183
0.969,-0.086,-0.138,0.732,4.395,0.305
0.988,-0.101,-0.157,-0.854,3.052,1.221
0.988,-0.102,-0.166,-2.197,2.258,1.343
0.986,-0.097,-0.175,-1.587,2.808,0.793
0.979,-0.093,-0.186,-0.366,3.54,0.488
0.969,-0.098,-0.186,0.244,2.258,0.671
0.977,-0.102,-0.18,0.488,0.305,1.16
0.985,-0.102,-0.183,1.465,-0.671,2.136
0.989,-0.097,-0.172,2.625,-0.549,1.587
0.989,-0.09,-0.166,4.333,0.671,0.488
0.991,-0.089,-0.156,4.883,1.343,0.061
0.981,-0.082,-0.146,4.272,0.549,0.305
0.977,-0.076,-0.14,3.174,0,0.488
0.971,-0.079,-0.142,2.502,0.488,0.244
0.968,-0.08,-0.149,2.93,2.014,-0.793
0.97,-0.081,-0.154,3.784,2.93,-1.953
0.98,-0.092,-0.158,3.54,2.563,-2.93
0.967,-0.096,-0.155,2.747,0.977,-2.869
0.96,-0.076,-0.143,2.93,-1.282,-1.892
0.973,-0.07,-0.119,2.747,-2.686,-2.136
0.978,-0.073,-0.108,2.075,-3.113,-2.319
0.979,-0.082,-0.11,1.526,-2.38,-2.258
0.994,-0.103,-0.123,1.038,-0.793,-2.869
1.001,-0.106,-0.128,1.221,0.977,-2.991
0.994,-0.104,-0.129,2.014,2.991,-2.441
0.98,-0.1,-0.138,2.686,4.517,-2.075
0.964,-0.093,-0.158,1.953,4.456,-1.343
0.954,-0.093,-0.167,1.038,2.014,-0.732
0.954,-0.093,-0.162,-0.366,-1.221,-0.549
0.959,-0.091,-0.153,-1.038,-3.296,0.061
0.972,-0.099,-0.144,-1.038,-3.723,-0.122
0.974,-0.103,-0.145,-0.427,-2.258,-1.038
0.977,-0.104,-0.139,0.916,0.183,-2.258
0.982,-0.104,-0.146,2.258,3.235,-2.991
0.989,-0.117,-0.151,2.869,5.005,-3.113
0.998,-0.114,-0.145,2.075,4.211,-2.319
1.005,-0.114,-0.144,-0.061,2.075,-1.282
1,-0.113,-0.139,-1.587,0.916,-0.061
0.986,-0.098,-0.141,-1.953,0.916,1.343
,,,,,
1.446,-1.544,-0.557,-131.958,87.891,-82.153
1.544,-1.72,-0.856,-137.146,67.688,-70.618
1.424,-1.625,-1.065,-122.437,49.133,-49.072
1.399,-1.489,-1.195,-90.881,37.354,-30.701
1.458,-1.518,-1.219,-64.758,26.55,-17.334
1.415,-1.434,-1.217,-50.293,18.555,-1.282
1.258,-1.247,-1.125,-32.471,14.465,14.16
1.123,-1.054,-0.977,-8.85,11.841,25.452
0.922,-0.753,-0.819,12.573,10.254,35.522
0.766,-0.492,-0.669,29.053,7.019,39.49
0.669,-0.316,-0.477,37.842,0.305,37.17
0.562,-0.115,-0.259,41.321,-7.019,35.522
0.51,0.054,-0.072,44.128,-12.085,31.311
0.504,0.137,0.067,43.945,-14.343,21.973
0.531,0.138,0.148,35.4,-13.794,11.719
0.612,0.058,0.176,21.545,-11.536,2.38
0.692,-0.008,0.192,7.996,-9.644,-2.625
0.747,-0.028,0.189,-0.122,-7.69,-5.31
0.804,-0.055,0.166,-2.808,-4.333,-7.202
0.835,-0.091,0.111,-6.348,-0.488,-9.094
0.862,-0.133,0.019,-10.376,3.479,-11.78
0.886,-0.175,-0.081,-11.902,7.019,-14.404
0.918,-0.22,-0.185,-11.292,8.667,-15.32
0.97,-0.273,-0.263,-10.925,7.141,-15.076
1.038,-0.316,-0.308,-10.864,3.113,-13.184
1.077,-0.307,-0.313,-10.01,-1.709,-8.545
1.103,-0.268,-0.279,-7.446,-5.737,-4.822
1.122,-0.23,-0.231,-4.578,-7.507,-2.747
1.142,-0.206,-0.208,-2.625,-5.981,-0.977
1.16,-0.197,-0.208,-2.991,-2.686,0.122
1.147,-0.194,-0.193,-2.747,0.427,0.916
1.117,-0.154,-0.172,-0.793,3.723,1.892
1.104,-0.124,-0.161,1.77,6.165,2.502
1.099,-0.13,-0.161,1.404,7.263,2.808
1.091,-0.134,-0.17,0.732,7.935,3.235
1.087,-0.143,-0.169,2.136,8.484,3.113
1.081,-0.147,-0.162,4.761,9.155,2.93
1.057,-0.137,-0.152,6.042,8.789,4.089
1.044,-0.133,-0.136,5.31,6.653,5.005
1.033,-0.136,-0.12,4.578,4.639,4.7
1.026,-0.141,-0.103,5.371,3.723,4.089
1.023,-0.142,-0.08,6.592,3.174,3.54
1.019,-0.121,-0.077,7.019,3.296,3.723
1.015,-0.112,-0.076,6.592,2.808,3.845
1.024,-0.132,-0.072,4.883,1.77,3.174
1.039,-0.143,-0.064,2.747,1.221,3.174
1.059,-0.139,-0.063,1.038,1.343,4.456
1.061,-0.138,-0.071,-0.61,3.662,5.127
1.058,-0.143,-0.085,-0.916,7.141,4.883
1.059,-0.156,-0.115,-0.061,9.888,4.883
1.055,-0.166,-0.152,0.244,10.803,5.798
1.036,-0.147,-0.169,0.732,9.705,7.324
1.015,-0.119,-0.167,2.014,7.629,8.606
1.004,-0.108,-0.155,2.625,5.493,9.094
0.993,-0.101,-0.148,2.38,3.54,9.583
0.966,-0.092,-0.135,2.136,2.075,9.521
0.943,-0.069,-0.126,3.296,1.465,8.606
0.935,-0.06,-0.115,4.822,0.732,7.385
0.932,-0.071,-0.108,4.15,-1.038,7.202
0.94,-0.09,-0.107,0.977,-3.113,7.751
0.938,-0.106,-0.106,-1.953,-5.493,8.118
0.93,-0.111,-0.097,-2.441,-6.287,7.996
0.925,-0.102,-0.099,-1.831,-4.517,7.385
0.93,-0.108,-0.102,-1.465,-2.014,5.798
0.93,-0.111,-0.103,-1.282,-0.61,4.639
0.923,-0.115,-0.105,-1.526,0.061,4.15
0.922,-0.115,-0.105,-1.953,0.366,3.235
0.915,-0.106,-0.106,-2.319,1.16,2.38
0.914,-0.102,-0.113,-2.93,2.502,1.587
0.918,-0.108,-0.125,-3.601,4.15,0.61
0.921,-0.12,-0.144,-3.906,5.066,-0.061
0.917,-0.125,-0.156,-4.395,4.639,-0.977
0.906,-0.127,-0.166,-3.418,4.272,-1.953
0.928,-0.139,-0.177,-2.319,2.869,-2.441
0.944,-0.15,-0.193,-2.502,0.183,-1.892
0.959,-0.154,-0.197,-3.296,-2.258,-0.61
0.968,-0.154,-0.188,-2.747,-3.784,0.793
0.967,-0.145,-0.169,-1.465,-4.15,1.831
0.956,-0.125,-0.144,-0.549,-3.784,2.136
0.954,-0.108,-0.128,0.366,-2.747,1.709
0.957,-0.106,-0.121,1.221,-1.16,0.671
0.963,-0.105,-0.116,1.038,0.671,-0.732
0.963,-0.088,-0.113,0.854,2.747,-1.343
0.967,-0.084,-0.111,1.221,3.967,-1.709
0.97,-0.099,-0.113,0.61,4.395,-2.563
0.973,-0.106,-0.131,-0.244,4.517,-3.296
0.984,-0.111,-0.142,0.244,4.211,-3.052
